word	count
呼んでる	5
さしてる	1
ボケる	4
作っている	4
集めてる	2
転がってる	2
拾ってくる	1
集めとる	1
混じる	1
上れる	1
漕いでる	2
振ってる	1
うってる	2
動かせる	1
出っぱってる	1
暴れる	1
暴れてる	3
描いてる	4
動いてる	11
合ってる	11
数多くていける	1
片づける	2
被れる	1
調べてる	1
付いてくる	1
引っかかってる	1
はまる	6
行ってみる	6
休んでる	2
置いてある	6
触れてる	1
萎える	1
写ってる	2
キメてる	2
残れる	1
加える	2
任せる	3
引きずる	3
薄まる	1
見かける	2
投げ込んでくれる	1
吹雪いてる	1
残してる	1
眠る	1
創ってる	1
捉えてる	1
閉めてもらえる	1
過ぎてる	6
愛で続ける	1
渡してくれる	3
助ける	4
まぎれる	1
揃ってる	2
伝わってる	1
掻き立てる	1
売れてる	7
事足りる	1
広がる	7
埋める	2
出て来る	11
引っかかる	3
変わってくれる	1
並びよる	1
笑わせる	1
騒いとる	2
騒ぎまくる	1
揃いよる	1
書いとる	8
目指してる	4
ゆうとる	12
売って回る	1
笑っとる	3
守りよる	1
受けとる	4
歩いとる	5
見始める	1
戦いよる	1
やりよる	2
入れたる	2
来よる	16
眺めとる	1
片付ける	5
あげよる	1
歌いよる	1
逃げとる	1
治せる	2
治してあげれる	1
作ったる	1
教えとる	1
笑いよる	2
向いとる	3
広がっとる	1
笑わしたる	1
接してくれる	2
わかってくる	2
のれる	1
避けてる	1
弾いてる	3
勧める	3
出会える	2
おこる	3
上げてる	1
動かしてる	1
写る	1
追い続ける	1
萌えてる	1
笑われてる	1
築いている	1
比べる	4
深める	1
残せる	1
吸える	1
はろてる	1
乗り換える	2
空いとる	5
混んとる	1
預ける	4
倒れてる	2
潰れてる	4
冷えてる	1
飾ってる	2
書いてくれる	1
会ってる	18
垂らしてる	1
混ぜる	2
巻きつける	1
炒める	1
ごまかしてる	1
掻い潜る	1
隠れる	1
事故る	4
嗜んでる	1
逃げてる	5
被ってる	5
乾いてる	2
堪える	1
限る	2
録ってる	1
遣える	1
履いている	2
入れている	1
追い求める	1
飛び出てる	1
気取っている	1
噛んてる	1
付いている	1
ったる	1
寄ってくる	4
おしてくれる	1
温める	1
ふえる	1
かわいがる	2
そろえる	2
笑うとる	1
年老いてる	1
下げる	4
ぼけとる	3
送っとる	2
とっとる	2
きばる	2
生い茂ってる	1
連れてる	1
踏ん張る	1
のっかる	2
窪んでる	1
ボケてる	2
踏みとどまれてる	1
逝ける	1
引ける	2
携われる	1
挟まる	1
走れる	7
かいてる	1
伸ばせる	1
.いける	1
やってあげる	1
決まってくる	4
やってみる	7
養ってもらえる	1
見やる	1
揉んでる	1
見せたる	1
落としよる	1
焼ける	5
付きよる	1
吸いよる	1
飛んとる	2
なってある	1
割りよる	1
喋りはる	1
居てはる	6
言わはる	32
といたる	3
死んてる	3
出してある	2
決まってある	1
生きてはる	1
預けてる	1
いりよる	1
仕切る	7
仕切らはる	1
吊ってる	1
下げよる	1
がってる	2
入れはる	1
喋ってはる	2
入ってある	2
たはる	37
集まりはる	1
来はる	16
乗ってはる	2
歩いてくる	3
着いていける	1
許せる	5
連れてくれる	1
避ける	5
泣かせてあげる	1
頼んであげる	1
乗せてあげる	2
撮りまくる	1
歌ってあげる	1
有る	2
壊してやる	1
掴まえる	1
垂らしてあげる	1
変えてる	3
踊ってくれる	1
ゆってはる	2
疲れてる	10
遭ってる	1
持ち上げる	1
つこうてる	1
飲んてる	2
飲み始める	1
噛んでる	1
いてくれる	3
もってる	6
ませてる	3
下る	1
下ってくる	1
燃えてる	3
引っ張ってる	1
遡る	1
殺してくる	1
贈ってくれる	1
こうてくる	1
ふっかける	1
揉める	1
して来る	2
忘れはる	1
抱える	1
言うてくる	6
思うてる	3
走ってはる	1
けなしとる	1
助けてくれる	3
養うとる	1
欠けてる	1
焼いてる	2
しまっとる	1
蓄える	1
作りてる	1
やける	1
経ってくる	1
いよる	1
通うてる	1
きする	2
鋤ける	1
肥えやる	1
田植え終える	1
しまいる	1
干してくれる	1
