morpheme phrase	count
出来る から/助詞	4
なる よー/助詞	2
ある 人/名詞	27
やる し/助詞	7
る 男の子/名詞	1
る 人数/名詞	1
やる よう/名詞	7
作る ん/名詞	17
おる と/助詞	13
わかる ぐらい/助詞	1
思える ぐらい/助詞	1
くる って/助詞	17
る 服/名詞	1
する 商品/名詞	1
る 感/名詞	5
感じる 人/名詞	1
すぎる って/助詞	2
なる けど/助詞	56
食べる 人/名詞	2
くる やつ/名詞	4
作る の/名詞	21
見れる みたい/名詞	2
走る 車/名詞	2
買える って/助詞	3
乗る って/助詞	3
買える ./記号	2
走る し/助詞	4
ある とこ/名詞	30
走る よ/助詞	1
拠る けど/助詞	1
とる ./記号	151
読める よう/名詞	3
る 曲/名詞	5
る 歌謡曲/名詞	1
てる のん/名詞	6
できる お/接頭詞	1
できる おにいちゃん/名詞	1
喋る けど/助詞	6
いる とき/名詞	12
できる し/助詞	33
変わる し/助詞	3
わかる ん/名詞	4
られる 原因/名詞	1
困る よ/助詞	4
する ね/助詞	9
楽しめる こと/名詞	1
見れる し/助詞	3
住める し/助詞	1
取れる ん/名詞	3
する とか/助詞	56
別れる みたい/名詞	1
感じる か/助詞	4
できる よう/名詞	54
育てる 教育/名詞	1
する のに/助詞	34
がる ん/名詞	1
住める もん/名詞	1
くる とも/助詞	1
すぎる の/名詞	3
できる の/名詞	10
なる とも/助詞	1
なる やろ/助動詞	26
せる と/助詞	1
上がる よう/名詞	2
バレる やん/助動詞	3
話せる 範囲/名詞	1
考える し/助詞	3
ある ので/助詞	8
よける でしょ/助動詞	1
つながる よ/助詞	1
みる 運動/名詞	1
る ので/助詞	22
くみ取る ./記号	1
ある かも/助詞	47
くる タイプ/名詞	1
せる よう/名詞	3
させる って/助詞	2
行ける じゃ/助動詞	1
来る もん/名詞	3
売る でしょ/助動詞	1
引き換える って/助詞	1
入る 前/名詞	10
終わる でしょ/助動詞	1
とらえる 方/名詞	1
合わせる って/助詞	1
いける って/助詞	2
れる とき/名詞	4
来る って/助詞	7
はる ん/名詞	27
れる ん/名詞	34
見える と/助詞	3
がる ので/助詞	1
上回る 人/名詞	1
いる ところ/名詞	9
おる けども/助詞	1
ある 街/名詞	2
いる 非常/名詞	1
感じる 街/名詞	1
変わる と/助詞	5
来る わけ/名詞	8
来る に/助詞	1
見る とこ/名詞	7
楽しめる し/助詞	1
来れる ん/名詞	1
くる ん/名詞	57
くれる ん/名詞	29
増える ん/名詞	3
よる 制限/名詞	1
出る 時間/名詞	1
れる ねん/助詞	45
決まる と/助詞	3
できる の/助詞	10
できる 範囲/名詞	4
伸びる かも/助詞	2
なる 日/名詞	2
食べる もん/名詞	18
乗る ねん/助詞	2
当てる の/助詞	1
とる いう/動詞	6
おる いう/動詞	3
とる か/助詞	38
よる やん/助動詞	5
帰る の/名詞	8
帰る やろ/助動詞	5
残る こと/名詞	4
下がる し/助詞	1
れる 分/名詞	1
いえる な/助詞	1
おる から/助詞	95
変わる ごと/名詞	1
する 仕事/名詞	11
困る ねん/助詞	3
無くなる わ/助詞	1
なる とか/助詞	18
仕入れる 言う/動詞	1
取り上げる から/助詞	1
する みたい/名詞	28
できる か/助詞	31
集める と/助詞	1
よる ねん/助詞	48
いける ねん/助詞	9
できる もん/名詞	3
分かる と/助詞	7
分かる だけ/助詞	2
残る から/助詞	3
る あれ/名詞	2
する 場/名詞	2
募る に/助詞	1
教える 人/名詞	3
すぎる ので/助詞	1
分かる な/助詞	5
植える お花/名詞	1
がる やん/助動詞	1
る 場所/名詞	4
なる ので/助詞	2
する 温泉/名詞	1
できる けど/助詞	16
できる うち/名詞	1
食べれる から/助詞	4
食べる から/助詞	8
する ご飯/名詞	1
食べる よう/形容詞	1
分かる やろ/助動詞	11
る けども/助詞	20
はる みたい/名詞	4
作る よう/名詞	1
行ける から/助詞	14
まえる わけ/名詞	1
くれる けど/助詞	12
使える の/名詞	2
いける ん/名詞	15
いける だけ/助詞	2
くれる スウェーデン/名詞	1
食べる もの/名詞	4
てる なら/接続詞	1
くる ぐらい/助詞	3
やる ./記号	35
出る やろ/助動詞	5
見る ぐらい/助詞	3
る 起き/動詞	1
負ける やん/助動詞	1
くる もの/名詞	1
来る やろ/助動詞	8
来る より/助詞	2
くる よう/形容詞	2
歩ける し/助詞	1
する ので/助詞	3
教える こと/名詞	2
寝る 時間/名詞	5
残る ひま/名詞	1
おる もん/助詞	4
できる 間/名詞	1
ある うち/名詞	4
伸びる ねん/助詞	1
する 間/名詞	3
わかる わ/助詞	6
する のん/助詞	4
とれる もん/助詞	1
集まる よう/名詞	1
する メンバー/名詞	2
よる けど/助詞	26
乗る 方/名詞	1
入れる ねん/助詞	4
ある もん/助詞	23
る 鉄/名詞	1
見れる ねん/助詞	1
できる 前/名詞	4
戻る やん/助動詞	1
わかれる ん/名詞	1
くる とこ/名詞	3
する ところ/名詞	9
渡る 方/名詞	1
乗れる ん/名詞	1
たる って/助詞	2
とる はず/名詞	4
なる ねん/名詞	6
いる もん/助詞	2
通じる 人/名詞	2
建てる とき/名詞	1
困る から/助詞	7
る は/助詞	1
とる もん/助詞	7
かける ./記号	5
くる 収入/名詞	1
減る か/助詞	1
教える 方/名詞	1
おる ころ/名詞	1
変わる の/助詞	1
ある 言う/動詞	6
とれる ./記号	1
取れる と/助詞	1
助かる 確率/名詞	1
たる とか/助詞	3
できる まで/助詞	2
教える 専門/名詞	1
教える 仕事/名詞	2
みる と/助詞	8
受け入れる みたい/名詞	1
る アジア/名詞	1
くれる よ/助詞	8
あげる やん/助動詞	3
いる やろ/助動詞	10
よる よ/助詞	4
る 統括/名詞	1
する 今/名詞	1
みる ん/名詞	2
みる ので/助詞	1
やる イベント/名詞	1
いる 人間/名詞	1
起きる と/助詞	1
回る よう/名詞	1
る セクション/名詞	1
する セクション/名詞	2
とる よう/名詞	9
分かる の/名詞	1
働ける ので/助詞	1
上がる し/助詞	2
覚える けど/助詞	1
もらえる チャンス/名詞	1
見る って/助詞	7
終わる か/助詞	5
できる こと/名詞	23
まとめる リーダーシップ/名詞	1
終わる 予定/名詞	1
る 自分/名詞	6
しゃべる 英語/名詞	1
いる 自分/名詞	1
やる ので/助詞	2
かける こと/名詞	1
しゃべる こと/名詞	7
貯まる って/助詞	1
残る って/助詞	2
別れる けど/助詞	2
食べる 仲間/名詞	1
おくる ね/助詞	1
回る ん/名詞	10
遅れる こと/名詞	1
守る 国/名詞	1
見る と/助詞	10
分かる 日本/名詞	1
出る べき/助動詞	1
する に/助詞	19
見れる から/助詞	5
撮る 機械/名詞	1
乗る 車/名詞	2
みる この/連体詞	1
変える やつ/名詞	1
れる と/助詞	36
よる と/助詞	6
いる よ/助詞	12
る 抜け/動詞	1
喋る とか/助詞	1
喋る から/助詞	7
はる やん/助動詞	32
やる 仕事/名詞	4
られる から/助詞	12
なる よ/助詞	22
考える わ/助詞	2
てる ちゃう/感動詞	9
もらえる か/助詞	3
当たる やつ/名詞	1
する わ/助詞	59
入る 仕事/名詞	1
あげれる ぐらい/助詞	1
知る やろ/助動詞	1
はる か/助詞	9
喋る ので/助詞	1
取れる の/助詞	5
入る か/助詞	6
教える 学校/名詞	2
答える よ/助詞	2
なる お金/名詞	1
行ける みたい/名詞	1
通じる やん/助動詞	1
過ぎる よ/助詞	1
行ける ん/名詞	9
なる ため/名詞	8
暮らせる みたい/名詞	1
行ける よう/名詞	10
変わる よ/助詞	2
る 場合/名詞	3
始める しか/助詞	1
る お/接頭詞	8
くる しか/助詞	1
なる 時/名詞	7
させる し/助詞	1
なくなる ん/名詞	3
食べる ん/名詞	7
変わる か/助詞	2
怒る から/助詞	6
怒る 時/名詞	2
なる よう/名詞	32
うつる ねん/助詞	1
変わる から/助詞	4
よる かも/助詞	1
帰れる ./記号	2
やる かも/助詞	3
食べる とこ/名詞	7
熟れる 前/名詞	1
食べれる けど/助詞	5
くる か/助詞	13
通じる よ/助詞	4
通じる けど/助詞	4
喋る でしょ/助動詞	1
しゃべる みたい/名詞	3
いる ひと/名詞	1
帰る ねん/助詞	3
帰る から/助詞	4
減る でしょ/助動詞	1
はる わ/助詞	20
入る わけ/名詞	4
る 家族/名詞	3
はる から/助詞	36
貰える ね/助詞	1
いる って/助詞	12
使える よ/助詞	1
見る ところ/名詞	1
もらえる って/助詞	3
やる 機会/名詞	2
やる とか/助詞	6
やる 以外/名詞	2
つくる ため/名詞	1
する ほど/名詞	3
売る 仕事/名詞	3
売る ため/名詞	1
売る って/助詞	3
ある 特定/名詞	2
かかる し/助詞	22
儲かる から/助詞	1
ある とき/名詞	11
くれる って/助詞	9
使える 一眼/名詞	1
なくなる から/助詞	5
慣れる よう/名詞	1
る 院生/名詞	1
飛べる とか/助詞	1
生かせる 仕事/名詞	1
れる 立場/名詞	2
追いかける 立場/名詞	1
わかる 通り/名詞	2
困る こと/名詞	6
る 諸口/名詞	1
極める とか/助詞	1
る 領域/名詞	1
とる から/助詞	118
とる よ/助詞	16
とる は/助詞	3
くる やろ/助動詞	16
見える ねん/助詞	10
とる ちゃう/動詞	6
る とかいう/助詞	1
負ける わ/助詞	2
知る わけ/名詞	1
なる いう/動詞	7
れる 恐れ/名詞	1
教える と/助詞	2
育てる と/助詞	1
とる ん/名詞	46
とる みたい/名詞	10
吊る とか/助詞	1
止まる の/名詞	2
とる とき/名詞	8
とる やろ/助動詞	24
とる の/名詞	48
する なか/名詞	1
困る と/助詞	2
いける はず/名詞	1
入る はず/名詞	2
行き過ぎる わけ/名詞	1
対する 愛情/名詞	1
ある や/助詞	7
延びる わけ/名詞	1
よじ登る いう/動詞	1
よじ登れる わ/助詞	1
れる わ/助詞	12
入れる わけ/名詞	5
さされる ねん/助詞	1
る せい/名詞	1
載る けど/助詞	1
入れる いう/動詞	2
負ける やろ/助動詞	1
負ける もん/名詞	1
おる 機械/名詞	1
おる よ/助詞	20
る 学校/名詞	4
出る わ/助詞	2
きれる と/助詞	1
れる けど/助詞	31
とる と/助詞	17
なる とき/名詞	2
する やろ/助動詞	29
見る の/助詞	13
見える とこ/名詞	3
とる な/助詞	29
乗る の/助詞	2
行ける やん/助動詞	14
てる ちゃう/動詞	7
ある マンション/名詞	1
喋る 時/名詞	3
る のん/名詞	3
落ちる くらい/助詞	2
おちる とか/助詞	1
おちる で/助詞	1
する 言葉/名詞	1
答える ./記号	1
早める あれ/名詞	1
かける ねん/助詞	4
称える みたい/名詞	1
分かる 感じ/名詞	2
くる ケース/名詞	1
来れる ./記号	1
当たる って/助詞	2
いける か/助詞	19
できる ちゃん/動詞	1
でる ねん/助詞	2
る ねん/名詞	13
着る けど/助詞	2
接する こと/名詞	3
こる し/助詞	1
接する の/名詞	2
出来る と/助詞	6
触れる コーナー/名詞	1
触れる ねん/助詞	1
触れる よう/名詞	1
る らしく/助動詞	5
撮る って/助詞	4
なる ね/名詞	9
ある 意味/名詞	16
