word phrase	count
辞めてる し/助詞	1
回れる まで/助詞	1
関わる やん/助動詞	1
入れる って/助詞	5
辞める って/助詞	2
着替える やん/助動詞	1
太る 体質/名詞	2
ある 一定/名詞	2
図る の/名詞	1
しめる とこ/名詞	1
縫いつける ねん/名詞	1
入れる よう/名詞	7
着れる よう/名詞	2
なる まで/助詞	25
食べる のん/名詞	2
喋る の/名詞	5
始める とき/名詞	1
出来る し/助詞	6
始まる とき/名詞	1
ゆえる し/助詞	1
ゆえる から/助詞	1
書いてる し/助詞	1
行ける なら/名詞	2
出来る だけ/助詞	7
覚える の/名詞	2
とれる よう/名詞	3
合える ./.	1
いる し/助詞	30
持ってる 部分/名詞	1
誇れる 部分/名詞	1
誇れる 国/名詞	1
考えてる プラン/名詞	1
持ってる から/助詞	9
やったる で/助詞	2
できる に/助詞	1
付き合ってる こと/名詞	2
もてる し/助詞	2
離れてる とき/名詞	1
聞こえる ./記号	5
話してる わけ/名詞	1
おれる 時/名詞	1
話してる とか/助詞	1
やれる こと/名詞	3
話してる ん/名詞	1
引き止める って/助詞	1
する しか/助詞	6
ついてる みたい/名詞	1
出る 前/名詞	4
してる から/助詞	82
出てとる 間/名詞	1
散らかってる の/助詞	1
怒る けど/助詞	3
ある あたし/名詞	2
れる のに/助詞	1
分かる し/助詞	9
してる し/助詞	36
対する 気持ち/名詞	1
考える やん/助動詞	2
なる かも/助詞	11
縛る やつ/名詞	1
出せる わ/助詞	1
れてくる よ/助詞	1
至る みたい/名詞	1
言える ./記号	4
分かる みたい/名詞	4
帰ってくる なん/名詞	1
怒る とき/名詞	3
怒る ./記号	2
くれる し/助詞	4
帰る のに/助詞	2
分かる ./記号	72
選べる し/助詞	2
決まる 時期/名詞	1
入れてる の/名詞	1
思える 職/名詞	1
出来る 仕事/名詞	1
なる こと/名詞	18
追いかける 子/名詞	1
出来る こと/名詞	4
出来る やん/助動詞	7
してる 分野/名詞	1
学んでる て/助詞	1
思ってる 一つ/名詞	1
なる 環境/名詞	1
いきわたる インフラ/名詞	1
暮らせる 環境/名詞	1
れてる 状況/名詞	1
落ち着いてる けど/助詞	1
困ってる ./記号	2
困る けど/助詞	10
なってる ./記号	36
行ける わけ/名詞	3
歩ける わけ/名詞	1
してる でしょ/助動詞	4
なってる よ/助詞	4
いる お金/名詞	1
にいける とか/助詞	1
ある 本/名詞	2
買ったげる とか/助詞	1
なくなる と/助詞	3
残ってる ./記号	16
いはる ./.	1
してる の/助詞	36
やる と/助詞	19
はってる ./記号	6
れてくる の/助詞	1
見はる ねん/助詞	1
考える 癖/名詞	3
やっている よう/名詞	1
ある じゃん/助動詞	3
覚えてる ね/助詞	2
する な/助詞	42
ある もの/名詞	5
至る まで/助詞	1
ある ものの/副詞	1
書いてある ./記号	6
やってる ねん/助詞	21
売ってる わけ/名詞	4
買える じゃん/助動詞	1
なる ねん/助詞	104
思っている こと/名詞	1
古すぎる ./記号	1
出てくる こと/名詞	1
やってる わけ/名詞	10
受けてる ねん/助詞	1
続いてる もの/名詞	1
ある のん/助詞	2
すぎてる から/助詞	1
覚えてる ./.	1
させる の/助詞	1
住んでる な/助詞	1
れる こと/名詞	21
おる か/助詞	23
帰る 方向/名詞	1
入ってる 奴/名詞	1
覚えてる よ/助詞	8
なめとる の/助詞	1
出る の/名詞	9
ある っけ/助詞	10
喋りよる し/助詞	1
通じる こと/名詞	1
飛んでくる ねん/助詞	1
できる と/助詞	23
怒る の/助詞	1
働いてる ./記号	6
悩んでる 内容/名詞	1
なる し/助詞	49
答えよる から/助詞	1
言える 空気/名詞	1
出てくる よう/名詞	4
観る し/助詞	1
来る し/助詞	9
来る ねん/名詞	2
行ってる よ/助詞	5
超えてる ね/名詞	2
覚えてる し/助詞	4
できる とこ/動詞	2
行ける かも/助詞	2
観る よう/名詞	1
行ってる わ/助詞	11
いてる やつ/名詞	1
観る か/助詞	1
れる の/助詞	18
する よ/助詞	28
できる やつ/名詞	3
できる やん/助動詞	21
してる みたい/名詞	12
とってる ./記号	3
続ける の/名詞	1
行ける し/助詞	14
知ってる こと/名詞	3
増やしてあげる こと/名詞	1
よる ./記号	8
群れる ね/名詞	1
言うてる のに/助詞	5
する 奴/名詞	3
出かける って/助詞	2
入る ./記号	14
せる って/助詞	2
擦れる って/助詞	1
言ってる と/助詞	2
見る ん/名詞	11
してる ねん/助詞	63
走ってる のに/助詞	2
入る かも/助詞	2
見る ねん/助詞	5
続いてる ねん/助詞	2
ある の/名詞	50
覚えてる 夢/名詞	1
覚める もん/助詞	1
押さえる のに/助詞	1
飼ってる 人/名詞	4
飼ってる 奴/名詞	1
ある こと/名詞	29
入る の/助詞	6
やってる か/助詞	19
なってる と/助詞	5
求める こと/名詞	2
れてる ./記号	16
なってる くらい/助詞	1
生きていける とか/助詞	1
やる わけ/名詞	7
走ってる 直線/名詞	1
ある 女子/名詞	1
行っとる わ/助詞	2
してる 時間/名詞	1
する メリット/名詞	1
通える 距離/名詞	1
持ってはる 人/名詞	2
置いてる し/助詞	2
作る から/助詞	3
寄って来る の/名詞	1
入る ねん/助詞	12
開ける ./記号	1
言ってる けど/助詞	20
聞いてくる けど/助詞	1
しはる ./記号	5
笑ってる 人/名詞	1
おる し/助詞	91
来る べき/助動詞	1
持てる って/助詞	1
探してる ./記号	1
する ため/名詞	24
作ってる とこ/名詞	2
要る やん/助動詞	1
おる 地域/名詞	1
おる の/助詞	14
通ってる 通っ/動詞	1
通ってる ./記号	2
ある ぐらい/助詞	7
ててやる みたい/名詞	1
支える 女/名詞	1
住んでる 泉大津/名詞	1
入ってる ん/助詞	2
住んでる 鳳/名詞	1
走る けど/助詞	1
すぎる よ/助詞	1
