れ	動詞,非自立,*,*,一段・クレル,連用形・縮約形,くれる,レ,レ
れ	動詞,非自立,*,*,一段・クレル,命令ｅ・縮約形,くれる,レ,レ
れよ	動詞,非自立,*,*,一段・クレル,命令ｙｏ・縮約形,くれる,レヨ,レヨ
れろ	動詞,非自立,*,*,一段・クレル,命令ｒｏ・縮約形,くれる,レロ,レロ
れりゃ	動詞,非自立,*,*,一段・クレル,仮定縮約１・縮約形,くれる,レリャ,レリャ
やる	動詞,非自立,*,*,五段・ラ行,基本形,やる,ヤル,ヤル
やら	動詞,非自立,*,*,五段・ラ行,未然形,やる,ヤラ,ヤラ
やっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ
やり	動詞,非自立,*,*,五段・ラ行,連用形,やる,ヤリ,ヤリ
やれ	動詞,非自立,*,*,五段・ラ行,仮定形,やる,ヤレ,ヤレ
やろ	動詞,非自立,*,*,五段・ラ行,命令ｒｏ,やる,ヤロ,ヤロ
やん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,やる,ヤン,ヤン
やがる	動詞,非自立,*,*,五段・ラ行,基本形,やがる,ヤガル,ヤガル
やがら	動詞,非自立,*,*,五段・ラ行,未然形,やがる,ヤガラ,ヤガラ
やがん	動詞,非自立,*,*,五段・ラ行,未然特殊,やがる,ヤガン,ヤガン
やがろ	動詞,非自立,*,*,五段・ラ行,未然ウ接続,やがる,ヤガロ,ヤガロ
やがり	動詞,非自立,*,*,五段・ラ行,連用形,やがる,ヤガリ,ヤガリ
やがっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,やがる,ヤガッ,ヤガッ
やがれ	動詞,非自立,*,*,五段・ラ行,仮定形,やがる,ヤガレ,ヤガレ
やがれ	動詞,非自立,*,*,五段・ラ行,命令ｅ,やがる,ヤガレ,ヤガレ
やがりゃ	動詞,非自立,*,*,五段・ラ行,仮定縮約１,やがる,ヤガリャ,ヤガリャ
やがん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,やがる,ヤガン,ヤガン
ちょる	動詞,非自立,*,*,五段・ラ行,基本形,て＋おる,チョル,チョル
ちょら	動詞,非自立,*,*,五段・ラ行,未然形,て＋おる,チョラ,チョラ
ちょっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,て＋おる,チョッ,チョッ
ちょう	動詞,非自立,*,*,五段・ラ行ウ音便,連用タ接続,て＋おる,チョウ,チョー
ちょり	動詞,非自立,*,*,五段・ラ行,連用形,て＋おる,チョリ,チョリ
ちょれ	動詞,非自立,*,*,五段・ラ行,仮定形,て＋おる,チョリ,チョリ
ちょろ	動詞,非自立,*,*,五段・ラ行,命令ｒｏ,て＋おる,チョロ,チョロ
ちょん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,て＋おる,チョン,チョン
しょる	動詞,非自立,*,*,五段・ラ行,基本形,する＋よる,ショル,ショル
しょら	動詞,非自立,*,*,五段・ラ行,未然形,する＋よる,ショラ,ショラ
しょっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,する＋よる,ショッ,ショッ
しょう	動詞,非自立,*,*,五段・ラ行ウ音便,連用タ接続,する＋よる,ショウ,ショー
しょり	動詞,非自立,*,*,五段・ラ行,連用形,する＋よる,ショリ,ショリ
しょれ	動詞,非自立,*,*,五段・ラ行,仮定形,する＋よる,ショリ,ショリ
しょろ	動詞,非自立,*,*,五段・ラ行,命令ｒｏ,する＋よる,ショロ,ショロ
しょん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,する＋よる,ション,ション
