られや	動詞,接尾,*,*,一段,未然形・や挿入,られる,ラレヤ,ラレヤ
悦べや	動詞,自立,*,*,一段,未然形・や挿入,悦べる,ヨロコベヤ,ヨロコベヤ
吸い寄せや	動詞,自立,*,*,一段,未然形・や挿入,吸い寄せる,スイヨセヤ,スイヨセヤ
よえや	動詞,自立,*,*,一段,未然形・や挿入,よえる,ヨエヤ,ヨエヤ
阻めや	動詞,自立,*,*,一段,未然形・や挿入,阻める,ハバメヤ,ハバメヤ
探し出せや	動詞,自立,*,*,一段,未然形・や挿入,探し出せる,サガシダセヤ,サガシダセヤ
およげや	動詞,自立,*,*,一段,未然形・や挿入,およげる,オヨゲヤ,オヨゲヤ
引き換えや	動詞,自立,*,*,一段,未然形・や挿入,引き換える,ヒキカエヤ,ヒキカエヤ
引き離せや	動詞,自立,*,*,一段,未然形・や挿入,引き離せる,ヒキハナセヤ,ヒキハナセヤ
抱き起こせや	動詞,自立,*,*,一段,未然形・や挿入,抱き起こせる,ダキオコセヤ,ダキオコセヤ
取り調べや	動詞,自立,*,*,一段,未然形・や挿入,取り調べる,トリシラベヤ,トリシラベヤ
捕われや	動詞,自立,*,*,一段,未然形・や挿入,捕われる,トラワレヤ,トラワレヤ
語りかけや	動詞,自立,*,*,一段,未然形・や挿入,語りかける,カタリカケヤ,カタリカケヤ
引っ越せや	動詞,自立,*,*,一段,未然形・や挿入,引っ越せる,ヒッコセヤ,ヒッコセヤ
刻めや	動詞,自立,*,*,一段,未然形・や挿入,刻める,キザメヤ,キザメヤ
世ばなれや	動詞,自立,*,*,一段,未然形・や挿入,世ばなれる,ヨバナレヤ,ヨバナレヤ
そぼぬれや	動詞,自立,*,*,一段,未然形・や挿入,そぼぬれる,ソボヌレヤ,ソボヌレヤ
織り込めや	動詞,自立,*,*,一段,未然形・や挿入,織り込める,オリコメヤ,オリコメヤ
けがれや	動詞,自立,*,*,一段,未然形・や挿入,けがれる,ケガレヤ,ケガレヤ
引っ括めや	動詞,自立,*,*,一段,未然形・や挿入,引っ括める,ヒックルメヤ,ヒックルメヤ
ひょうげや	動詞,自立,*,*,一段,未然形・や挿入,ひょうげる,ヒョウゲ,ヒョーゲヤ
ひょうげや	動詞,自立,*,*,一段,未然形・や挿入,ひょうげる,ヒョウゲヤ,ヒョウゲヤ
延べや	動詞,自立,*,*,一段,未然形・や挿入,延べる,ノベヤ,ノベヤ
かけ隔てや	動詞,自立,*,*,一段,未然形・や挿入,かけ隔てる,カケヘダテヤ,カケヘダテヤ
疲れはてや	動詞,自立,*,*,一段,未然形・や挿入,疲れはてる,ツカレハテヤ,ツカレハテヤ
言い付けや	動詞,自立,*,*,一段,未然形・や挿入,言い付ける,イイツケ,イーツケヤ
繰下げや	動詞,自立,*,*,一段,未然形・や挿入,繰下げる,クリサゲヤ,クリサゲヤ
率いや	動詞,自立,*,*,一段,未然形・や挿入,率いる,ヒキイヤ,ヒキイヤ
持ちかえれや	動詞,自立,*,*,一段,未然形・や挿入,持ちかえれる,モチカエレヤ,モチカエレヤ
出歩けや	動詞,自立,*,*,一段,未然形・や挿入,出歩ける,デアルケヤ,デアルケヤ
迎えや	動詞,自立,*,*,一段,未然形・や挿入,迎える,ムカエヤ,ムカエヤ
押掛けや	動詞,自立,*,*,一段,未然形・や挿入,押掛ける,オシカケヤ,オシカケヤ
掻き集めや	動詞,自立,*,*,一段,未然形・や挿入,掻き集める,カキアツメヤ,カキアツメヤ
愁えや	動詞,自立,*,*,一段,未然形・や挿入,愁える,ウレエヤ,ウレエヤ
はりつめや	動詞,自立,*,*,一段,未然形・や挿入,はりつめる,ハリツメヤ,ハリツメヤ
追い立てや	動詞,自立,*,*,一段,未然形・や挿入,追い立てる,オイタテヤ,オイタテヤ
取り立てや	動詞,自立,*,*,一段,未然形・や挿入,取り立てる,トリタテヤ,トリタテヤ
侍れや	動詞,自立,*,*,一段,未然形・や挿入,侍れる,ハベレヤ,ハベレヤ
飛び跳ねや	動詞,自立,*,*,一段,未然形・や挿入,飛び跳ねる,トビハネヤ,トビハネヤ
ひとかわむけや	動詞,自立,*,*,一段,未然形・や挿入,ひとかわむける,ヒトカワムケヤ,ヒトカワムケヤ
くりよせや	動詞,自立,*,*,一段,未然形・や挿入,くりよせる,クリヨセヤ,クリヨセヤ
掛け離れや	動詞,自立,*,*,一段,未然形・や挿入,掛け離れる,カケハナレヤ,カケハナレヤ
立替えや	動詞,自立,*,*,一段,未然形・や挿入,立替える,タテカエヤ,タテカエヤ
ひいでや	動詞,自立,*,*,一段,未然形・や挿入,ひいでる,ヒイデ,ヒーデヤ
ほりつけや	動詞,自立,*,*,一段,未然形・や挿入,ほりつける,ホリツケヤ,ホリツケヤ
もうしかねや	動詞,自立,*,*,一段,未然形・や挿入,もうしかねる,モウシカネ,モーシカネヤ
張詰めや	動詞,自立,*,*,一段,未然形・や挿入,張詰める,ハリツメヤ,ハリツメヤ
追いやれや	動詞,自立,*,*,一段,未然形・や挿入,追いやれる,オイヤレヤ,オイヤレヤ
すり付けや	動詞,自立,*,*,一段,未然形・や挿入,すり付ける,スリツケヤ,スリツケヤ
乗りつけや	動詞,自立,*,*,一段,未然形・や挿入,乗りつける,ノリツケヤ,ノリツケヤ
いきおいづけや	動詞,自立,*,*,一段,未然形・や挿入,いきおいづける,イキオイヅケヤ,イキオイヅケヤ
うつむけや	動詞,自立,*,*,一段,未然形・や挿入,うつむける,ウツムケヤ,ウツムケヤ
取れや	動詞,自立,*,*,一段,未然形・や挿入,取れる,トレヤ,トレヤ
たちあがれや	動詞,自立,*,*,一段,未然形・や挿入,たちあがれる,タチアガレヤ,タチアガレヤ
跡絶えや	動詞,自立,*,*,一段,未然形・や挿入,跡絶える,トダエヤ,トダエヤ
あてこめや	動詞,自立,*,*,一段,未然形・や挿入,あてこめる,アテコメヤ,アテコメヤ
せき立てや	動詞,自立,*,*,一段,未然形・や挿入,せき立てる,セキタテヤ,セキタテヤ
くちや	動詞,自立,*,*,一段,未然形・や挿入,くちる,クチヤ,クチヤ
きがえや	動詞,自立,*,*,一段,未然形・や挿入,きがえる,キガエヤ,キガエヤ
じれや	動詞,自立,*,*,一段,未然形・や挿入,じれる,ジレヤ,ジレヤ
あそびまわれや	動詞,自立,*,*,一段,未然形・や挿入,あそびまわれる,アソビマワレヤ,アソビマワレヤ
書入れや	動詞,自立,*,*,一段,未然形・や挿入,書入れる,カキイレヤ,カキイレヤ
ふえや	動詞,自立,*,*,一段,未然形・や挿入,ふえる,フエヤ,フエヤ
つきさせや	動詞,自立,*,*,一段,未然形・や挿入,つきさせる,ツキサセヤ,ツキサセヤ
めしあげや	動詞,自立,*,*,一段,未然形・や挿入,めしあげる,メシアゲヤ,メシアゲヤ
掛けや	動詞,自立,*,*,一段,未然形・や挿入,掛ける,カケヤ,カケヤ
置忘れや	動詞,自立,*,*,一段,未然形・や挿入,置忘れる,オキワスレヤ,オキワスレヤ
願えや	動詞,自立,*,*,一段,未然形・や挿入,願える,ネガエヤ,ネガエヤ
つぎあわせや	動詞,自立,*,*,一段,未然形・や挿入,つぎあわせる,ツギアワセヤ,ツギアワセヤ
まちあわせや	動詞,自立,*,*,一段,未然形・や挿入,まちあわせる,マチアワセヤ,マチアワセヤ
決めや	動詞,自立,*,*,一段,未然形・や挿入,決める,キメヤ,キメヤ
さきでや	動詞,自立,*,*,一段,未然形・や挿入,さきでる,サキデヤ,サキデヤ
突き合せや	動詞,自立,*,*,一段,未然形・や挿入,突き合せる,ツキアワセヤ,ツキアワセヤ
しわめや	動詞,自立,*,*,一段,未然形・や挿入,しわめる,シワメヤ,シワメヤ
出し切れや	動詞,自立,*,*,一段,未然形・や挿入,出し切れる,ダシキレヤ,ダシキレヤ
よびだせや	動詞,自立,*,*,一段,未然形・や挿入,よびだせる,ヨビダセヤ,ヨビダセヤ
叶えや	動詞,自立,*,*,一段,未然形・や挿入,叶える,カナエヤ,カナエヤ
ずり落ちや	動詞,自立,*,*,一段,未然形・や挿入,ずり落ちる,ズリオチヤ,ズリオチヤ
挙げや	動詞,自立,*,*,一段,未然形・や挿入,挙げる,アゲヤ,アゲヤ
はきちがえや	動詞,自立,*,*,一段,未然形・や挿入,はきちがえる,ハキチガエヤ,ハキチガエヤ
せぐりあげや	動詞,自立,*,*,一段,未然形・や挿入,せぐりあげる,セグリアゲヤ,セグリアゲヤ
飲み込めや	動詞,自立,*,*,一段,未然形・や挿入,飲み込める,ノミコメヤ,ノミコメヤ
田舎びや	動詞,自立,*,*,一段,未然形・や挿入,田舎びる,イナカビヤ,イナカビヤ
かもしだせや	動詞,自立,*,*,一段,未然形・や挿入,かもしだせる,カモシダセヤ,カモシダセヤ
みせつけや	動詞,自立,*,*,一段,未然形・や挿入,みせつける,ミセツケヤ,ミセツケヤ
かたよせや	動詞,自立,*,*,一段,未然形・や挿入,かたよせる,カタヨセヤ,カタヨセヤ
仕損じや	動詞,自立,*,*,一段,未然形・や挿入,仕損じる,シソンジヤ,シソンジヤ
打切れや	動詞,自立,*,*,一段,未然形・や挿入,打切れる,ウチキレヤ,ウチキレヤ
かきたてや	動詞,自立,*,*,一段,未然形・や挿入,かきたてる,カキタテヤ,カキタテヤ
くっつけや	動詞,自立,*,*,一段,未然形・や挿入,くっつける,クッツケヤ,クッツケヤ
寝とぼけや	動詞,自立,*,*,一段,未然形・や挿入,寝とぼける,ネトボケヤ,ネトボケヤ
擂れや	動詞,自立,*,*,一段,未然形・や挿入,擂れる,スレヤ,スレヤ
試せや	動詞,自立,*,*,一段,未然形・や挿入,試せる,タメセヤ,タメセヤ
向けや	動詞,自立,*,*,一段,未然形・や挿入,向ける,ムケヤ,ムケヤ
ぬすめや	動詞,自立,*,*,一段,未然形・や挿入,ぬすめる,ヌスメヤ,ヌスメヤ
もりたてや	動詞,自立,*,*,一段,未然形・や挿入,もりたてる,モリタテヤ,モリタテヤ
ふみこたえや	動詞,自立,*,*,一段,未然形・や挿入,ふみこたえる,フミコタエヤ,フミコタエヤ
とりあつめや	動詞,自立,*,*,一段,未然形・や挿入,とりあつめる,トリアツメヤ,トリアツメヤ
見初めや	動詞,自立,*,*,一段,未然形・や挿入,見初める,ミソメヤ,ミソメヤ
立ち退けや	動詞,自立,*,*,一段,未然形・や挿入,立ち退ける,タチノケヤ,タチノケヤ
だきあわせや	動詞,自立,*,*,一段,未然形・や挿入,だきあわせる,ダキアワセヤ,ダキアワセヤ
しのげや	動詞,自立,*,*,一段,未然形・や挿入,しのげる,シノゲヤ,シノゲヤ
乗り切れや	動詞,自立,*,*,一段,未然形・や挿入,乗り切れる,ノリキレヤ,ノリキレヤ
ふくせや	動詞,自立,*,*,一段,未然形・や挿入,ふくせる,フクセヤ,フクセヤ
かけや	動詞,自立,*,*,一段,未然形・や挿入,かける,カケヤ,カケヤ
聞えや	動詞,自立,*,*,一段,未然形・や挿入,聞える,キコエヤ,キコエヤ
読替えや	動詞,自立,*,*,一段,未然形・や挿入,読替える,ヨミカエヤ,ヨミカエヤ
頂けや	動詞,自立,*,*,一段,未然形・や挿入,頂ける,イタダケヤ,イタダケヤ
とりくずせや	動詞,自立,*,*,一段,未然形・や挿入,とりくずせる,トリクズセヤ,トリクズセヤ
ほそめや	動詞,自立,*,*,一段,未然形・や挿入,ほそめる,ホソメヤ,ホソメヤ
のろけや	動詞,自立,*,*,一段,未然形・や挿入,のろける,ノロケヤ,ノロケヤ
具えや	動詞,自立,*,*,一段,未然形・や挿入,具える,ソナエヤ,ソナエヤ
渡せや	動詞,自立,*,*,一段,未然形・や挿入,渡せる,ワタセヤ,ワタセヤ
彩れや	動詞,自立,*,*,一段,未然形・や挿入,彩れる,イロドレヤ,イロドレヤ
そろえや	動詞,自立,*,*,一段,未然形・や挿入,そろえる,ソロエヤ,ソロエヤ
まなべや	動詞,自立,*,*,一段,未然形・や挿入,まなべる,マナベヤ,マナベヤ
ずぬけや	動詞,自立,*,*,一段,未然形・や挿入,ずぬける,ズヌケヤ,ズヌケヤ
縛りつけや	動詞,自立,*,*,一段,未然形・や挿入,縛りつける,シバリツケヤ,シバリツケヤ
とりおさえや	動詞,自立,*,*,一段,未然形・や挿入,とりおさえる,トリオサエヤ,トリオサエヤ
駆立てや	動詞,自立,*,*,一段,未然形・や挿入,駆立てる,カリタテヤ,カリタテヤ
ひきかえや	動詞,自立,*,*,一段,未然形・や挿入,ひきかえる,ヒキカエヤ,ヒキカエヤ
かきしるせや	動詞,自立,*,*,一段,未然形・や挿入,かきしるせる,カキシルセヤ,カキシルセヤ
近寄せや	動詞,自立,*,*,一段,未然形・や挿入,近寄せる,チカヨセヤ,チカヨセヤ
錬れや	動詞,自立,*,*,一段,未然形・や挿入,錬れる,ネレヤ,ネレヤ
寛げや	動詞,自立,*,*,一段,未然形・や挿入,寛げる,クツロゲヤ,クツロゲヤ
汲み取れや	動詞,自立,*,*,一段,未然形・や挿入,汲み取れる,クミトレヤ,クミトレヤ
仕掛けや	動詞,自立,*,*,一段,未然形・や挿入,仕掛ける,シカケヤ,シカケヤ
抱留めや	動詞,自立,*,*,一段,未然形・や挿入,抱留める,ダキトメヤ,ダキトメヤ
啜り上げや	動詞,自立,*,*,一段,未然形・や挿入,啜り上げる,ススリアゲヤ,ススリアゲヤ
