引き込み	動詞,自立,*,*,五段・マ行,命令k,引き込む,ヒキコミ,ヒキコミ
なぎ	動詞,自立,*,*,五段・ガ行,命令k,なぐ,ナギ,ナギ
建て	動詞,自立,*,*,一段,命令k,建てる,タテ,タテ
頼め	動詞,自立,*,*,一段,命令k,頼める,タノメ,タノメ
吐き出し	動詞,自立,*,*,五段・サ行,命令k,吐き出す,ハキダシ,ハキダシ
止まり	動詞,自立,*,*,五段・ラ行,命令k,止まる,トマリ,トマリ
正し	動詞,自立,*,*,五段・サ行,命令k,正す,タダシ,タダシ
しまい	動詞,自立,*,*,五段・ワ行促音便,命令k,しまう,シマイ,シマイ
交ぜ	動詞,自立,*,*,一段,命令k,交ぜる,マゼ,マゼ
のけ	動詞,非自立,*,*,一段,命令k,のける,ノケ,ノケ
張り	動詞,自立,*,*,五段・ラ行,命令k,張る,ハリ,ハリ
にやけ	動詞,自立,*,*,一段,命令k,にやける,ニヤケ,ニヤケ
差し伸べ	動詞,自立,*,*,一段,命令k,差し伸べる,サシノベ,サシノベ
やめ	動詞,自立,*,*,一段,命令k,やめる,ヤメ,ヤメ
遊ばせ	動詞,自立,*,*,一段,命令k,遊ばせる,アソバセ,アソバセ
行かし	動詞,自立,*,*,五段・サ行,命令k,行かす,イカシ,イカシ
よくなり	動詞,自立,*,*,五段・ラ行,命令k,よくなる,ヨクナリ,ヨクナリ
あがり	動詞,自立,*,*,五段・ラ行,命令k,あがる,アガリ,アガリ
もち	動詞,自立,*,*,五段・タ行,命令k,もつ,モチ,モチ
こえ	動詞,自立,*,*,一段,命令k,こえる,コエ,コエ
捌き	動詞,自立,*,*,五段・カ行イ音便,命令k,捌く,サバキ,サバキ
占め	動詞,自立,*,*,一段,命令k,占める,シメ,シメ
見返し	動詞,自立,*,*,五段・サ行,命令k,見返す,ミカエシ,ミカエシ
きはじめ	動詞,自立,*,*,一段,命令k,きはじめる,キハジメ,キハジメ
けだし	動詞,自立,*,*,五段・サ行,命令k,けだす,ケダシ,ケダシ
癒し	動詞,自立,*,*,五段・サ行,命令k,癒す,イヤシ,イヤシ
引き続き	動詞,自立,*,*,五段・カ行イ音便,命令k,引き続く,ヒキツヅキ,ヒキツズキ
あきらめ	動詞,自立,*,*,一段,命令k,あきらめる,アキラメ,アキラメ
掻き	動詞,自立,*,*,五段・カ行イ音便,命令k,掻く,カキ,カキ
