えっぐかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,えっぐい,エッグカッ,エッグカッ
えっぐ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,えっぐい,エッグ,エッグ
あっらい	形容詞,自立,*,*,形容詞・アウオ段,基本形,あっらい,アッライ,アッライ
あっらかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,あっらい,アッラカッ,アッラカッ
あっら	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,あっらい,アッラ,アッラ
うっとい	形容詞,自立,*,*,形容詞・アウオ段,基本形,うっとい,ウットイ,ウットイ
うっとかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,うっとい,ウットカッ,ウットカッ
うっと	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,うっとい,ウット,ウット
しっぶい	形容詞,自立,*,*,形容詞・アウオ段,基本形,しっぶい,シッブイ,シッブイ
しっぶかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,しっぶい,シッブカッ,シッブカッ
しっぶ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,しっぶい,シッブ,シッブ
しっるい	形容詞,自立,*,*,形容詞・アウオ段,基本形,しっるい,シッルイ,シッルイ
しっるかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,しっるい,シッルカッ,シッルカッ
しっる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,しっるい,シッル,シッル
かっゆい	形容詞,自立,*,*,形容詞・アウオ段,基本形,かっゆい,カッユイ,カッユイ
かっゆかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,かっゆい,カッユカッ,カッユカッ
かっゆ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,かっゆい,カッユ,カッユ
ひっくい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ひっくい,ヒックイ,ヒックイ
ひっくかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ひっくい,ヒックカッ,ヒックカッ
ひっく	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ひっくい,ヒック,ヒック
ごっつい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ごっつい,ゴッツイ,ゴッツイ
ごっつかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ごっつい,ゴッツカッ,ゴッツカッ
ごっつ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ごっつい,ゴッツ,ゴッツ
なっがい	形容詞,自立,*,*,形容詞・アウオ段,基本形,なっがい,ナッガイ,ナッガイ
なっがかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,なっがい,ナッガカッ,ナッガカッ
なっが	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,なっがい,ナッガ,ナッガ
むっさい	形容詞,自立,*,*,形容詞・アウオ段,基本形,むっさい,ムッサイ,ムッサイ
むっさかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,むっさい,ムッサカッ,ムッサカッ
むっさ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,むっさい,ムッサ,ムッサ
はっやい	形容詞,自立,*,*,形容詞・アウオ段,基本形,はっやい,ハッヤイ,ハッヤイ
はっやかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,はっやい,ハッヤカッ,ハッヤカッ
はっや	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,はっやい,ハッヤ,ハッヤ
かったい	形容詞,自立,*,*,形容詞・アウオ段,基本形,かったい,カッタイ,カッタイ
かったかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,かったい,カッタカッ,カッタカッ
かった	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,かったい,カッタ,カッタ
ねっばい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ねっばい,ネッバイ,ネッバイ
ねっばかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ねっばい,ネッバカッ,ネッバカッ
ねっば	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ねっばい,ネッバ,ネッバ
くっさい	形容詞,自立,*,*,形容詞・アウオ段,基本形,くっさい,クッサイ,クッサイ
くっさかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,くっさい,クッサカッ,クッサカッ
くっさ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,くっさい,クッサ,クッサ
ねっつい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ねっつい,ネッツイ,ネッツイ
ねっつかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ねっつい,ネッツカッ,ネッツカッ
ねっつ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ねっつい,ネッツ,ネッツ
ひっろい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ひっろい,ヒッロイ,ヒッロイ
ひっろかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ひっろい,ヒッロカッ,ヒッロカッ
ひっろ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ひっろい,ヒッロ,ヒッロ
むっごい	形容詞,自立,*,*,形容詞・アウオ段,基本形,むっごい,ムッゴイ,ムッゴイ
むっごかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,むっごい,ムッゴカッ,ムッゴカッ
むっご	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,むっごい,ムッゴ,ムッゴ
つっよい	形容詞,自立,*,*,形容詞・アウオ段,基本形,つっよい,ツッヨイ,ツッヨイ
つっよかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,つっよい,ツッヨカッ,ツッヨカッ
つっよ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,つっよい,ツッヨ,ツッヨ
しっわい	形容詞,自立,*,*,形容詞・アウオ段,基本形,しっわい,シッワイ,シッワイ
しっわかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,しっわい,シッワカッ,シッワカッ
しっわ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,しっわい,シッワ,シッワ
かっいい	形容詞,自立,*,*,形容詞・アウオ段,基本形,かっいい,カッイイ,カッイイ
