阻めっ	動詞,自立,*,*,一段,基本形・促音便,阻める,ハバメッ,ハバメッ
わすれさっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,わすれさる,ワスレサッ,ワスレサッ
隠っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,隠る,コモッ,コモッ
探し出せっ	動詞,自立,*,*,一段,基本形・促音便,探し出せる,サガシダセッ,サガシダセッ
成さがっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,成さがる,ナリサガッ,ナリサガッ
およげっ	動詞,自立,*,*,一段,基本形・促音便,およげる,オヨゲッ,オヨゲッ
引き換えっ	動詞,自立,*,*,一段,基本形・促音便,引き換える,ヒキカエッ,ヒキカエッ
引き離せっ	動詞,自立,*,*,一段,基本形・促音便,引き離せる,ヒキハナセッ,ヒキハナセッ
さえわたっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,さえわたる,サエワタッ,サエワタッ
抱き起こせっ	動詞,自立,*,*,一段,基本形・促音便,抱き起こせる,ダキオコセッ,ダキオコセッ
しょげかえっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,しょげかえる,ショゲカエッ,ショゲカエッ
取り調べっ	動詞,自立,*,*,一段,基本形・促音便,取り調べる,トリシラベッ,トリシラベッ
捕われっ	動詞,自立,*,*,一段,基本形・促音便,捕われる,トラワレッ,トラワレッ
なっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,なる,ナッ,ナッ
寂すっ	動詞,自立,*,*,サ変・−スル,基本形・促音便,寂する,ジャクスッ,ジャクスッ
おもいあたっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,おもいあたる,オモイアタッ,オモイアタッ
語りかけっ	動詞,自立,*,*,一段,基本形・促音便,語りかける,カタリカケッ,カタリカケッ
引っ越せっ	動詞,自立,*,*,一段,基本形・促音便,引っ越せる,ヒッコセッ,ヒッコセッ
刻めっ	動詞,自立,*,*,一段,基本形・促音便,刻める,キザメッ,キザメッ
世ばなれっ	動詞,自立,*,*,一段,基本形・促音便,世ばなれる,ヨバナレッ,ヨバナレッ
ひっくくっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,ひっくくる,ヒッククッ,ヒッククッ
そぼぬれっ	動詞,自立,*,*,一段,基本形・促音便,そぼぬれる,ソボヌレッ,ソボヌレッ
織り込めっ	動詞,自立,*,*,一段,基本形・促音便,織り込める,オリコメッ,オリコメッ
仰け反っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,仰け反る,ノケゾッ,ノケゾッ
けがれっ	動詞,自立,*,*,一段,基本形・促音便,けがれる,ケガレッ,ケガレッ
あざけっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,あざける,アザケッ,アザケッ
引っ括めっ	動詞,自立,*,*,一段,基本形・促音便,引っ括める,ヒックッメッ,ヒックッメッ
ひょうげっ	動詞,自立,*,*,一段,基本形・促音便,ひょうげる,ヒョウゲッ,ヒョーゲッ
ひょうげっ	動詞,自立,*,*,一段,基本形・促音便,ひょうげる,ヒョウゲッ,ヒョウゲッ
延べっ	動詞,自立,*,*,一段,基本形・促音便,延べる,ノベッ,ノベッ
かけ隔てっ	動詞,自立,*,*,一段,基本形・促音便,かけ隔てる,カケヘダテッ,カケヘダテッ
かすめ取っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,かすめ取る,カスメトッ,カスメトッ
ほこっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,ほこる,ホコッ,ホコッ
疲れはてっ	動詞,自立,*,*,一段,基本形・促音便,疲れはてる,ツカレハテッ,ツカレハテッ
くわわっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,くわわる,クワワッ,クワワッ
差し上っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,差し上る,サシノボッ,サシノボッ
踏ん切っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,踏ん切る,フンギッ,フンギッ
言い付けっ	動詞,自立,*,*,一段,基本形・促音便,言い付ける,イイツケッ,イーツケッ
