揺れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,揺る,ユレ,ユレ
ひかれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,ひかる,ヒカレ,ヒカレ
みて	動詞,自立,*,*,五段・タ行,未然形・母音調和,みつ,ミテ,ミテ
入り込め	動詞,自立,*,*,五段・マ行,未然形・母音調和,入り込む,ハイリコメ,ハイリコメ
入り込め	動詞,自立,*,*,五段・マ行,未然形・母音調和,入り込む,イリコメ,イリコメ
違え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,違う,チガエ,チガエ
すれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,する,スレ,スレ
なれ	動詞,非自立,*,*,五段・ラ行,未然形・母音調和,なる,ナレ,ナレ
掴め	動詞,自立,*,*,五段・マ行,未然形・母音調和,掴む,ツカメ,ツカメ
もらえ	動詞,非自立,*,*,五段・ワ行促音便,未然形・母音調和,もらう,モラエ,モラエ
たたけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,たたく,タタケ,タタケ
分て	動詞,自立,*,*,五段・タ行,未然形・母音調和,分つ,ワカテ,ワカテ
越せ	動詞,自立,*,*,五段・サ行,未然形・母音調和,越す,コセ,コセ
いけ	動詞,非自立,*,*,五段・カ行促音便,未然形・母音調和,いく,イケ,イケ
許せ	動詞,自立,*,*,五段・サ行,未然形・母音調和,許す,ユルセ,ユルセ
届け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,届く,トドケ,トドケ
構え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,構う,カマエ,カマエ
終われ	動詞,非自立,*,*,五段・ラ行,未然形・母音調和,終わる,オワレ,オワレ
怒れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,怒る,オコレ,オコレ
いぶせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,いぶす,イブセ,イブセ
振れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,振る,フレ,フレ
まかせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,まかす,マカセ,マカセ
なされ	動詞,非自立,*,*,五段・ラ行特殊,未然形・母音調和,なさる,ナサレ,ナサレ
ちぎれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,ちぎる,チギレ,チギレ
馴染め	動詞,自立,*,*,五段・マ行,未然形・母音調和,馴染む,ナジメ,ナジメ
引っかけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,引っかく,ヒッカケ,ヒッカケ
とれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,とる,トレ,トレ
とかせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,とかす,トカセ,トカセ
のれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,のる,ノレ,ノレ
灯れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,灯る,トモレ,トモレ
かかれ	動詞,非自立,*,*,五段・ラ行,未然形・母音調和,かかる,カカレ,カカレ
使え	動詞,自立,*,*,五段・ワ行ウ音便,未然形・母音調和,使う,ツカエ,ツカエ
接せ	動詞,自立,*,*,五段・サ行,未然形・母音調和,接す,セッセ,セッセ
絡め	動詞,自立,*,*,五段・マ行,未然形・母音調和,絡む,カラメ,カラメ
ふえ	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,ふう,フエ,フエ
引っ付け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,引っ付く,ヒッツケ,ヒッツケ
なせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,なす,ナセ,ナセ
切れ	動詞,非自立,*,*,五段・ラ行,未然形・母音調和,切る,キレ,キレ
まえ	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,まう,マエ,マエ
遡れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,遡る,サカノボレ,サカノボレ
押入れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,押入る,オシイレ,オシイレ
しこれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,しこる,シコレ,シコレ
死ね	動詞,自立,*,*,五段・ナ行,未然形・母音調和,死ぬ,シネ,シネ
かれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,かる,カレ,カレ
降ろせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,降ろす,オロセ,オロセ
くるめ	動詞,自立,*,*,五段・マ行,未然形・母音調和,くるむ,クルメ,クルメ
撮れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,撮る,トレ,トレ
うけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,うく,ウケ,ウケ
ひねくれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,ひねくる,ヒネクレ,ヒネクレ
むかえ	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,むかう,ムカエ,ムカエ
食え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,食う,クエ,クエ
いのこれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,いのこる,イノコレ,イノコレ
だけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,だく,ダケ,ダケ
たおれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,たおる,タオレ,タオレ
打て	動詞,自立,*,*,五段・タ行,未然形・母音調和,打つ,ウテ,ウテ
打て	動詞,自立,*,*,五段・タ行,未然形・母音調和,打つ,ブテ,ブテ
取り合え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,取り合う,トリアエ,トリアエ
たけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,たく,タケ,タケ
まかれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,まかる,マカレ,マカレ
頂け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,頂く,イタダケ,イタダケ
触れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,触る,サワレ,サワレ
映せ	動詞,自立,*,*,五段・サ行,未然形・母音調和,映す,ウツセ,ウツセ
せかせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,せかす,セカセ,セカセ
積め	動詞,自立,*,*,五段・マ行,未然形・母音調和,積む,ツメ,ツメ
咲かせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,咲かす,サカセ,サカセ
とまれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,とまる,トマレ,トマレ
泣け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,泣く,ナケ,ナケ
擦れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,擦る,コスレ,コスレ
擦れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,擦る,ナスレ,ナスレ
擦れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,擦る,スレ,スレ
回れ	動詞,非自立,*,*,五段・ラ行,未然形・母音調和,回る,マワレ,マワレ
こやせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,こやす,コヤセ,コヤセ
あえ	動詞,非自立,*,*,五段・ワ行促音便,未然形・母音調和,あう,アエ,アエ
うて	動詞,自立,*,*,五段・タ行,未然形・母音調和,うつ,ウテ,ウテ
やらせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,やらす,ヤラセ,ヤラセ
しまれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,しまる,シマレ,シマレ
ぶせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,ぶす,ブセ,ブセ
こめ	動詞,自立,*,*,五段・マ行,未然形・母音調和,こむ,コメ,コメ
着け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,着く,ツケ,ツケ
目立て	動詞,自立,*,*,五段・タ行,未然形・母音調和,目立つ,メダテ,メダテ
してやれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,してやる,シテヤレ,シテヤレ
指させ	動詞,自立,*,*,五段・サ行,未然形・母音調和,指さす,ユビサセ,ユビサセ
かかれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,かかる,カカレ,カカレ
もせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,もす,モセ,モセ
