引き込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,引き込む,ヒキコミャ,ヒキコミャ
玩びゃ	動詞,自立,*,*,五段・バ行,基本縮約,玩ぶ,モテアソビャ,モテアソビャ
裁てっ	動詞,自立,*,*,一段,基本縮約,裁てる,タテッ,タテッ
ちりいそぎゃ	動詞,自立,*,*,五段・ガ行,基本縮約,ちりいそぐ,チリイソギャ,チリイソギャ
棚引きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,棚引く,タナビキャ,タナビキャ
引き下がっ	動詞,自立,*,*,五段・ラ行,基本縮約,引き下がる,ヒキサガッ,ヒキサガッ
てぐすねひきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,てぐすねひく,テグスネヒキャ,テグスネヒキャ
括れっ	動詞,自立,*,*,一段,基本縮約,括れる,クビレッ,クビレッ
引き締まっ	動詞,自立,*,*,五段・ラ行,基本縮約,引き締まる,ヒキシマッ,ヒキシマッ
参れっ	動詞,自立,*,*,一段,基本縮約,参れる,マイレッ,マイレッ
立ちならびゃ	動詞,自立,*,*,五段・バ行,基本縮約,立ちならぶ,タチナラビャ,タチナラビャ
そらうそぶきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,そらうそぶく,ソラウソブキャ,ソラウソブキャ
羨みゃ	動詞,自立,*,*,五段・マ行,基本縮約,羨む,ウラヤミャ,ウラヤミャ
ふきかえしゃ	動詞,自立,*,*,五段・サ行,基本縮約,ふきかえす,フキカエシャ,フキカエシャ
はぎゃ	動詞,自立,*,*,五段・ガ行,基本縮約,はぐ,ハギャ,ハギャ
みはらしゃ	動詞,自立,*,*,五段・サ行,基本縮約,みはらす,ミハラシャ,ミハラシャ
けおされっ	動詞,自立,*,*,一段,基本縮約,けおされる,ケオサレッ,ケオサレッ
洒落れっ	動詞,自立,*,*,一段,基本縮約,洒落れる,シャレッ,シャレッ
おもいやっ	動詞,自立,*,*,五段・ラ行,基本縮約,おもいやる,オモイヤッ,オモイヤッ
ふとっ	動詞,自立,*,*,五段・ラ行,基本縮約,ふとる,フトッ,フトッ
ちぢらしゃ	動詞,自立,*,*,五段・サ行,基本縮約,ちぢらす,チヂラシャ,チジラシャ
うちまくっ	動詞,自立,*,*,五段・ラ行,基本縮約,うちまくる,ウチマクッ,ウチマクッ
明け残っ	動詞,自立,*,*,五段・ラ行,基本縮約,明け残る,アケノコッ,アケノコッ
ひきわたしゃ	動詞,自立,*,*,五段・サ行,基本縮約,ひきわたす,ヒキワタシャ,ヒキワタシャ
ならびたてっ	動詞,自立,*,*,一段,基本縮約,ならびたてる,ナラビタテッ,ナラビタテッ
書き出せっ	動詞,自立,*,*,一段,基本縮約,書き出せる,カキダセッ,カキダセッ
聞きつけっ	動詞,自立,*,*,一段,基本縮約,聞きつける,キキツケッ,キキツケッ
研ぎゃ	動詞,自立,*,*,五段・ガ行,基本縮約,研ぐ,トギャ,トギャ
つきはなせっ	動詞,自立,*,*,一段,基本縮約,つきはなせる,ツキハナセッ,ツキハナセッ
萌みゃ	動詞,自立,*,*,五段・マ行,基本縮約,萌む,メグミャ,メグミャ
ませっ	動詞,自立,*,*,一段,基本縮約,ませる,マセッ,マセッ
折り込めっ	動詞,自立,*,*,一段,基本縮約,折り込める,オリコメッ,オリコメッ
ふり入れっ	動詞,自立,*,*,一段,基本縮約,ふり入れる,フリイレッ,フリイレッ
押し分けっ	動詞,自立,*,*,一段,基本縮約,押し分ける,オシワケッ,オシワケッ
見慣れっ	動詞,自立,*,*,一段,基本縮約,見慣れる,ミナレッ,ミナレッ
跳ねのけっ	動詞,自立,*,*,一段,基本縮約,跳ねのける,ハネノケッ,ハネノケッ
染みゃ	動詞,自立,*,*,五段・マ行,基本縮約,染む,シミャ,シミャ
訃ぎゃ	動詞,自立,*,*,五段・ガ行,基本縮約,訃ぐ,ツギャ,ツギャ
拒めっ	動詞,自立,*,*,一段,基本縮約,拒める,コバメッ,コバメッ
貫き通せっ	動詞,自立,*,*,一段,基本縮約,貫き通せる,ツラヌキトオセッ,ツラヌキトーセッ
くねっ	動詞,自立,*,*,五段・ラ行,基本縮約,くねる,クネッ,クネッ
ふりやみゃ	動詞,自立,*,*,五段・マ行,基本縮約,ふりやむ,フリヤミャ,フリヤミャ
ゆらぎゃ	動詞,自立,*,*,五段・ガ行,基本縮約,ゆらぐ,ユラギャ,ユラギャ
読み切れっ	動詞,自立,*,*,一段,基本縮約,読み切れる,ヨミキレッ,ヨミキレッ
ようだちゃ	動詞,自立,*,*,五段・タ行,基本縮約,ようだつ,ヨウダチャ,ヨウダチャ
またしゃ	動詞,自立,*,*,五段・サ行,基本縮約,またす,マタシャ,マタシャ
畳み込めっ	動詞,自立,*,*,一段,基本縮約,畳み込める,タタミコメッ,タタミコメッ
掛け合えっ	動詞,自立,*,*,一段,基本縮約,掛け合える,カケアエッ,カケアエッ
誘い出しゃ	動詞,自立,*,*,五段・サ行,基本縮約,誘い出す,サソイダシャ,サソイダシャ
のりまわしゃ	動詞,自立,*,*,五段・サ行,基本縮約,のりまわす,ノリマワシャ,ノリマワシャ
ほぐせっ	動詞,自立,*,*,一段,基本縮約,ほぐせる,ホグセッ,ホグセッ
ぜっすっ	動詞,自立,*,*,サ変・−スル,基本縮約,ぜっする,ゼッスッ,ゼッスッ
蔵すっ	動詞,自立,*,*,サ変・−スル,基本縮約,蔵する,ゾウスッ,ゾースッ
印しゃ	動詞,自立,*,*,五段・サ行,基本縮約,印す,シルシャ,シルシャ
手古摺っ	動詞,自立,*,*,五段・ラ行,基本縮約,手古摺る,テコズッ,テコズッ
まびけっ	動詞,自立,*,*,一段,基本縮約,まびける,マビケッ,マビケッ
わりこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,わりこむ,ワリコミャ,ワリコミャ
しくみゃ	動詞,自立,*,*,五段・マ行,基本縮約,しくむ,シクミャ,シクミャ
怪しみゃ	動詞,自立,*,*,五段・マ行,基本縮約,怪しむ,アヤシミャ,アヤシミャ
締めつけっ	動詞,自立,*,*,一段,基本縮約,締めつける,シメツケッ,シメツケッ
受けっ	動詞,自立,*,*,一段,基本縮約,受ける,ウケッ,ウケッ
立ちどまっ	動詞,自立,*,*,五段・ラ行,基本縮約,立ちどまる,タチドマッ,タチドマッ
はいりきっ	動詞,自立,*,*,五段・ラ行,基本縮約,はいりきる,ハイリキッ,ハイリキッ
証しゃ	動詞,自立,*,*,五段・サ行,基本縮約,証す,アカシャ,アカシャ
漕げっ	動詞,自立,*,*,一段,基本縮約,漕げる,コゲッ,コゲッ
捜しまわっ	動詞,自立,*,*,五段・ラ行,基本縮約,捜しまわる,サガシマワッ,サガシマワッ
ゆきわたっ	動詞,自立,*,*,五段・ラ行,基本縮約,ゆきわたる,ユキワタッ,ユキワタッ
相入れっ	動詞,自立,*,*,一段,基本縮約,相入れる,アイイレッ,アイイレッ
奏しゃ	動詞,自立,*,*,五段・サ行,基本縮約,奏す,ソウシャ,ソーシャ
悦べっ	動詞,自立,*,*,一段,基本縮約,悦べる,ヨロコベッ,ヨロコベッ
料っ	動詞,自立,*,*,五段・ラ行,基本縮約,料る,リョウッ,リョーッ
