とん	動詞,非自立,*,*,五段・ラ行,未然特殊,て＋おる,トン,トン
すりつぶさん	動詞,自立,*,*,五段・サ行,未然特殊,すりつぶす,スリツブサン,スリツブサン
けかえさん	動詞,自立,*,*,五段・サ行,未然特殊,けかえす,ケカエサン,ケカエサン
なきさけばん	動詞,自立,*,*,五段・バ行,未然特殊,なきさけぶ,ナキサケバン,ナキサケバン
名指さん	動詞,自立,*,*,五段・サ行,未然特殊,名指す,ナザサン,ナザサン
会わさん	動詞,自立,*,*,五段・サ行,未然特殊,会わす,アワサン,アワサン
うけながさん	動詞,自立,*,*,五段・サ行,未然特殊,うけながす,ウケナガサン,ウケナガサン
慈しまん	動詞,自立,*,*,五段・マ行,未然特殊,慈しむ,イツクシマン,イツクシマン
握り潰さん	動詞,自立,*,*,五段・サ行,未然特殊,握り潰す,ニギリツブサン,ニギリツブサン
迫り出さん	動詞,自立,*,*,五段・サ行,未然特殊,迫り出す,セリダサン,セリダサン
畳み込まん	動詞,自立,*,*,五段・マ行,未然特殊,畳み込む,タタミコマン,タタミコマン
取りなさん	動詞,自立,*,*,五段・サ行,未然特殊,取りなす,トリナサン,トリナサン
あたりちらさん	動詞,自立,*,*,五段・サ行,未然特殊,あたりちらす,アタリチラサン,アタリチラサン
取り落さん	動詞,自立,*,*,五段・サ行,未然特殊,取り落す,トリオトサン,トリオトサン
伸び悩まん	動詞,自立,*,*,五段・マ行,未然特殊,伸び悩む,ノビナヤマン,ノビナヤマン
溶きほぐさん	動詞,自立,*,*,五段・サ行,未然特殊,溶きほぐす,トキホグサン,トキホグサン
たくまん	動詞,自立,*,*,五段・マ行,未然特殊,たくむ,タクマン,タクマン
うきださん	動詞,自立,*,*,五段・サ行,未然特殊,うきだす,ウキダサン,ウキダサン
へこまさん	動詞,自立,*,*,五段・サ行,未然特殊,へこます,ヘコマサン,ヘコマサン
さん	動詞,接尾,*,*,五段・サ行,未然特殊,す,サン,サン
ひしがん	動詞,自立,*,*,五段・ガ行,未然特殊,ひしぐ,ヒシガン,ヒシガン
持ち込まん	動詞,自立,*,*,五段・マ行,未然特殊,持ち込む,モチコマン,モチコマン
嘆き暮さん	動詞,自立,*,*,五段・サ行,未然特殊,嘆き暮す,ナゲキクラサン,ナゲキクラサン
篩い落さん	動詞,自立,*,*,五段・サ行,未然特殊,篩い落す,フルイオトサン,フルイオトサン
哮り立たん	動詞,自立,*,*,五段・タ行,未然特殊,哮り立つ,タケリタタン,タケリタタン
回さん	動詞,自立,*,*,五段・サ行,未然特殊,回す,マワサン,マワサン
滅ばん	動詞,自立,*,*,五段・バ行,未然特殊,滅ぶ,ホロバン,ホロバン
利さん	動詞,自立,*,*,五段・サ行,未然特殊,利す,リサン,リサン
絶たん	動詞,自立,*,*,五段・タ行,未然特殊,絶つ,タタン,タタン
出さん	動詞,非自立,*,*,五段・サ行,未然特殊,出す,ダサン,ダサン
おしかくさん	動詞,自立,*,*,五段・サ行,未然特殊,おしかくす,オシカクサン,オシカクサン
締め出さん	動詞,自立,*,*,五段・サ行,未然特殊,締め出す,シメダサン,シメダサン
仰がん	動詞,自立,*,*,五段・ガ行,未然特殊,仰ぐ,アオガン,アオガン
よみくださん	動詞,自立,*,*,五段・サ行,未然特殊,よみくだす,ヨミクダサン,ヨミクダサン
泣き腫らさん	動詞,自立,*,*,五段・サ行,未然特殊,泣き腫らす,ナキハラサン,ナキハラサン
突飛ばさん	動詞,自立,*,*,五段・サ行,未然特殊,突飛ばす,ツキトバサン,ツキトバサン
明らまん	動詞,自立,*,*,五段・マ行,未然特殊,明らむ,アカラマン,アカラマン
呼び戻さん	動詞,自立,*,*,五段・サ行,未然特殊,呼び戻す,ヨビモドサン,ヨビモドサン
言放たん	動詞,自立,*,*,五段・タ行,未然特殊,言放つ,イイハナタ,イーハナタ
つかいこなさん	動詞,自立,*,*,五段・サ行,未然特殊,つかいこなす,ツカイコナサン,ツカイコナサン
泣き沈まん	動詞,自立,*,*,五段・マ行,未然特殊,泣き沈む,ナキシズマン,ナキシズマン
よみかえさん	動詞,自立,*,*,五段・サ行,未然特殊,よみかえす,ヨミカエサン,ヨミカエサン
よまん	動詞,自立,*,*,五段・マ行,未然特殊,よむ,ヨマン,ヨマン
験さん	動詞,自立,*,*,五段・サ行,未然特殊,験す,タメサン,タメサン
たくらまん	動詞,自立,*,*,五段・マ行,未然特殊,たくらむ,タクラマン,タクラマン
あいさん	動詞,自立,*,*,五段・サ行,未然特殊,あいす,アイサン,アイサン
あらだたん	動詞,自立,*,*,五段・タ行,未然特殊,あらだつ,アラダタン,アラダタン
語り込まん	動詞,自立,*,*,五段・マ行,未然特殊,語り込む,カタリコマン,カタリコマン
食い荒らさん	動詞,自立,*,*,五段・サ行,未然特殊,食い荒らす,クイアラサン,クイアラサン
取り乱さん	動詞,自立,*,*,五段・サ行,未然特殊,取り乱す,トリミダサン,トリミダサン
悴まん	動詞,自立,*,*,五段・マ行,未然特殊,悴む,カジカマン,カジカマン
住みなさん	動詞,自立,*,*,五段・サ行,未然特殊,住みなす,スミナサン,スミナサン
交ぜ返さん	動詞,自立,*,*,五段・サ行,未然特殊,交ぜ返す,マゼカエサン,マゼカエサン
飲込まん	動詞,自立,*,*,五段・マ行,未然特殊,飲込む,ノミコマン,ノミコマン
徹さん	動詞,自立,*,*,五段・サ行,未然特殊,徹す,テッサン,テッサン
徹さん	動詞,自立,*,*,五段・サ行,未然特殊,徹す,トオサ,トーサ
見落とさん	動詞,自立,*,*,五段・サ行,未然特殊,見落とす,ミオトサン,ミオトサン
付け廻さん	動詞,自立,*,*,五段・サ行,未然特殊,付け廻す,ツケマワサン,ツケマワサン
さわさん	動詞,自立,*,*,五段・サ行,未然特殊,さわす,サワサン,サワサン
ぬかさん	動詞,自立,*,*,五段・サ行,未然特殊,ぬかす,ヌカサン,ヌカサン
成立たん	動詞,自立,*,*,五段・タ行,未然特殊,成立つ,ナリタタン,ナリタタン
はなしださん	動詞,自立,*,*,五段・サ行,未然特殊,はなしだす,ハナシダサン,ハナシダサン
打返さん	動詞,自立,*,*,五段・サ行,未然特殊,打返す,ウチカエサン,ウチカエサン
打ち合わさん	動詞,自立,*,*,五段・サ行,未然特殊,打ち合わす,ウチアワサン,ウチアワサン
ふくらまさん	動詞,自立,*,*,五段・サ行,未然特殊,ふくらます,フクラマサン,フクラマサン
打ち返さん	動詞,自立,*,*,五段・サ行,未然特殊,打ち返す,ウチカエサン,ウチカエサン
汲み乾さん	動詞,自立,*,*,五段・サ行,未然特殊,汲み乾す,クミホサン,クミホサン
つっかえさん	動詞,自立,*,*,五段・サ行,未然特殊,つっかえす,ツッカエサン,ツッカエサン
吹き荒ばん	動詞,自立,*,*,五段・バ行,未然特殊,吹き荒ぶ,フキスサバン,フキスサバン
思い残さん	動詞,自立,*,*,五段・サ行,未然特殊,思い残す,オモイノコサン,オモイノコサン
しみ込まん	動詞,自立,*,*,五段・マ行,未然特殊,しみ込む,シミコマン,シミコマン
取消さん	動詞,自立,*,*,五段・サ行,未然特殊,取消す,トリケサン,トリケサン
切れ込まん	動詞,自立,*,*,五段・マ行,未然特殊,切れ込む,キレコマン,キレコマン
染み込まん	動詞,自立,*,*,五段・マ行,未然特殊,染み込む,シミコマン,シミコマン
積み残さん	動詞,自立,*,*,五段・サ行,未然特殊,積み残す,ツミノコサン,ツミノコサン
すべりこまん	動詞,自立,*,*,五段・マ行,未然特殊,すべりこむ,スベリコマン,スベリコマン
打落さん	動詞,自立,*,*,五段・サ行,未然特殊,打落す,ウチオトサン,ウチオトサン
建ち並ばん	動詞,自立,*,*,五段・バ行,未然特殊,建ち並ぶ,タチナラバン,タチナラバン
読み流さん	動詞,自立,*,*,五段・サ行,未然特殊,読み流す,ヨミナガサン,ヨミナガサン
かかえ込まん	動詞,自立,*,*,五段・マ行,未然特殊,かかえ込む,カカエコマン,カカエコマン
まぜっかえさん	動詞,自立,*,*,五段・サ行,未然特殊,まぜっかえす,マゼッカエサン,マゼッカエサン
きりまわさん	動詞,自立,*,*,五段・サ行,未然特殊,きりまわす,キリマワサン,キリマワサン
堪え忍ばん	動詞,自立,*,*,五段・バ行,未然特殊,堪え忍ぶ,タエシノバン,タエシノバン
おとさん	動詞,自立,*,*,五段・サ行,未然特殊,おとす,オトサン,オトサン
はねださん	動詞,自立,*,*,五段・サ行,未然特殊,はねだす,ハネダサン,ハネダサン
過さん	動詞,自立,*,*,五段・サ行,未然特殊,過す,スゴサン,スゴサン
科さん	動詞,自立,*,*,五段・サ行,未然特殊,科す,カサン,カサン
抓まん	動詞,自立,*,*,五段・マ行,未然特殊,抓む,ツママン,ツママン
切り立たん	動詞,自立,*,*,五段・タ行,未然特殊,切り立つ,キリタタン,キリタタン
ふりおとさん	動詞,自立,*,*,五段・サ行,未然特殊,ふりおとす,フリオトサン,フリオトサン
聞き落さん	動詞,自立,*,*,五段・サ行,未然特殊,聞き落す,キキオトサン,キキオトサン
脹らさん	動詞,自立,*,*,五段・サ行,未然特殊,脹らす,フクラサン,フクラサン
分かたん	動詞,自立,*,*,五段・タ行,未然特殊,分かつ,ワカタン,ワカタン
言いならわさん	動詞,自立,*,*,五段・サ行,未然特殊,言いならわす,イイナラワサ,イーナラワサ
挿頭さん	動詞,自立,*,*,五段・サ行,未然特殊,挿頭す,カザサン,カザサン
切出さん	動詞,自立,*,*,五段・サ行,未然特殊,切出す,キリダサン,キリダサン
いつぶさん	動詞,自立,*,*,五段・サ行,未然特殊,いつぶす,イツブサン,イツブサン
もうさん	動詞,自立,*,*,五段・サ行,未然特殊,もうす,モウサ,モーサ
交わさん	動詞,自立,*,*,五段・サ行,未然特殊,交わす,カワサン,カワサン
混ぜ返さん	動詞,自立,*,*,五段・サ行,未然特殊,混ぜ返す,マゼカエサン,マゼカエサン
ながさん	動詞,自立,*,*,五段・サ行,未然特殊,ながす,ナガサン,ナガサン
ぼかさん	動詞,自立,*,*,五段・サ行,未然特殊,ぼかす,ボカサン,ボカサン
ひるまん	動詞,自立,*,*,五段・マ行,未然特殊,ひるむ,ヒルマン,ヒルマン
降くらさん	動詞,自立,*,*,五段・サ行,未然特殊,降くらす,フリクラサン,フリクラサン
巡らさん	動詞,自立,*,*,五段・サ行,未然特殊,巡らす,メグラサン,メグラサン
縅さん	動詞,自立,*,*,五段・サ行,未然特殊,縅す,オドサン,オドサン
じゅくさん	動詞,自立,*,*,五段・サ行,未然特殊,じゅくす,ジュクサン,ジュクサン
捻り回さん	動詞,自立,*,*,五段・サ行,未然特殊,捻り回す,ヒネリマワサン,ヒネリマワサン
売りつくさん	動詞,自立,*,*,五段・サ行,未然特殊,売りつくす,ウリツクサン,ウリツクサン
きかさん	動詞,自立,*,*,五段・サ行,未然特殊,きかす,キカサン,キカサン
くさらさん	動詞,自立,*,*,五段・サ行,未然特殊,くさらす,クサラサン,クサラサン
にじまん	動詞,自立,*,*,五段・マ行,未然特殊,にじむ,ニジマン,ニジマン
つっこまん	動詞,自立,*,*,五段・マ行,未然特殊,つっこむ,ツッコマン,ツッコマン
嵌め込まん	動詞,自立,*,*,五段・マ行,未然特殊,嵌め込む,ハメコマン,ハメコマン
見晴らさん	動詞,自立,*,*,五段・サ行,未然特殊,見晴らす,ミハラサン,ミハラサン
眩まん	動詞,自立,*,*,五段・マ行,未然特殊,眩む,クラマン,クラマン
さおささん	動詞,自立,*,*,五段・サ行,未然特殊,さおさす,サオササン,サオササン
かわさん	動詞,自立,*,*,五段・サ行,未然特殊,かわす,カワサン,カワサン
つつしまん	動詞,自立,*,*,五段・マ行,未然特殊,つつしむ,ツツシマン,ツツシマン
紛らかさん	動詞,自立,*,*,五段・サ行,未然特殊,紛らかす,マギラカサン,マギラカサン
とりけさん	動詞,自立,*,*,五段・サ行,未然特殊,とりけす,トリケサン,トリケサン
動き出さん	動詞,自立,*,*,五段・サ行,未然特殊,動き出す,ウゴキダサン,ウゴキダサン
枯ればまん	動詞,自立,*,*,五段・マ行,未然特殊,枯ればむ,カレバマン,カレバマン
ほうりださん	動詞,自立,*,*,五段・サ行,未然特殊,ほうりだす,ホウリダサ,ホーリダサ
冷やさん	動詞,自立,*,*,五段・サ行,未然特殊,冷やす,ヒヤサン,ヒヤサン
丸め込まん	動詞,自立,*,*,五段・マ行,未然特殊,丸め込む,マルメコマン,マルメコマン
見落さん	動詞,自立,*,*,五段・サ行,未然特殊,見落す,ミオトサン,ミオトサン
飲潰さん	動詞,自立,*,*,五段・サ行,未然特殊,飲潰す,ノミツブサン,ノミツブサン
撃たん	動詞,自立,*,*,五段・タ行,未然特殊,撃つ,ウタン,ウタン
囃さん	動詞,自立,*,*,五段・サ行,未然特殊,囃す,ハヤサン,ハヤサン
ときめかさん	動詞,自立,*,*,五段・サ行,未然特殊,ときめかす,トキメカサン,トキメカサン
適さん	動詞,自立,*,*,五段・サ行,未然特殊,適す,テキサン,テキサン
ひっこさん	動詞,自立,*,*,五段・サ行,未然特殊,ひっこす,ヒッコサン,ヒッコサン
ほれ込まん	動詞,自立,*,*,五段・マ行,未然特殊,ほれ込む,ホレコマン,ホレコマン
學ばん	動詞,自立,*,*,五段・バ行,未然特殊,學ぶ,マナバン,マナバン
かきながさん	動詞,自立,*,*,五段・サ行,未然特殊,かきながす,カキナガサン,カキナガサン
窮め尽くさん	動詞,自立,*,*,五段・サ行,未然特殊,窮め尽くす,キワメツクサン,キワメツクサン
整え直さん	動詞,自立,*,*,五段・サ行,未然特殊,整え直す,トトノエナオサン,トトノエナオサン
なやまさん	動詞,自立,*,*,五段・サ行,未然特殊,なやます,ナヤマサン,ナヤマサン
突きとばさん	動詞,自立,*,*,五段・サ行,未然特殊,突きとばす,ツキトバサン,ツキトバサン
さかだたん	動詞,自立,*,*,五段・タ行,未然特殊,さかだつ,サカダタン,サカダタン
かきこまん	動詞,自立,*,*,五段・マ行,未然特殊,かきこむ,カキコマン,カキコマン
