とん	動詞,非自立,*,*,五段・ラ行,未然特殊,て＋おる,トン,トン
きらめまん	動詞,自立,*,*,五段・マ行,未然特殊,きらめむ,キラメマン,キラメマン
掻き起さん	動詞,自立,*,*,五段・サ行,未然特殊,掻き起す,カキオコサン,カキオコサン
思いかえさん	動詞,自立,*,*,五段・サ行,未然特殊,思いかえす,オモイカエサン,オモイカエサン
成り済まさん	動詞,自立,*,*,五段・サ行,未然特殊,成り済ます,ナリスマサン,ナリスマサン
なやまん	動詞,自立,*,*,五段・マ行,未然特殊,なやむ,ナヤマン,ナヤマン
頼み込まん	動詞,自立,*,*,五段・マ行,未然特殊,頼み込む,タノミコマン,タノミコマン
青まん	動詞,自立,*,*,五段・マ行,未然特殊,青む,アオマン,アオマン
蹴出さん	動詞,自立,*,*,五段・サ行,未然特殊,蹴出す,ケダサン,ケダサン
遣いこまん	動詞,自立,*,*,五段・マ行,未然特殊,遣いこむ,ツカイコマン,ツカイコマン
なかさん	動詞,自立,*,*,五段・サ行,未然特殊,なかす,ナカサン,ナカサン
吊さん	動詞,自立,*,*,五段・サ行,未然特殊,吊す,ツルサン,ツルサン
思ほさん	動詞,自立,*,*,五段・サ行,未然特殊,思ほす,オモホサン,オモホサン
したしまん	動詞,自立,*,*,五段・マ行,未然特殊,したしむ,シタシマン,シタシマン
聞流さん	動詞,自立,*,*,五段・サ行,未然特殊,聞流す,キキナガサン,キキナガサン
追い落とさん	動詞,自立,*,*,五段・サ行,未然特殊,追い落とす,オイオトサン,オイオトサン
焦れ込まん	動詞,自立,*,*,五段・マ行,未然特殊,焦れ込む,ジレコマン,ジレコマン
書き下ろさん	動詞,自立,*,*,五段・サ行,未然特殊,書き下ろす,カキオロサン,カキオロサン
しみこまん	動詞,自立,*,*,五段・マ行,未然特殊,しみこむ,シミコマン,シミコマン
転がり込まん	動詞,自立,*,*,五段・マ行,未然特殊,転がり込む,コロガリコマン,コロガリコマン
縫い込まん	動詞,自立,*,*,五段・マ行,未然特殊,縫い込む,ヌイコマン,ヌイコマン
ひたさん	動詞,自立,*,*,五段・サ行,未然特殊,ひたす,ヒタサン,ヒタサン
振り落とさん	動詞,自立,*,*,五段・サ行,未然特殊,振り落とす,フリオトサン,フリオトサン
ひきおろさん	動詞,自立,*,*,五段・サ行,未然特殊,ひきおろす,ヒキオロサン,ヒキオロサン
ぶちこわさん	動詞,自立,*,*,五段・サ行,未然特殊,ぶちこわす,ブチコワサン,ブチコワサン
期さん	動詞,自立,*,*,五段・サ行,未然特殊,期す,キサン,キサン
つま先立たん	動詞,自立,*,*,五段・タ行,未然特殊,つま先立つ,ツマサキダタン,ツマサキダタン
垂れ込まん	動詞,自立,*,*,五段・マ行,未然特殊,垂れ込む,タレコマン,タレコマン
突き放さん	動詞,自立,*,*,五段・サ行,未然特殊,突き放す,ツキハナサン,ツキハナサン
むかいあわさん	動詞,自立,*,*,五段・サ行,未然特殊,むかいあわす,ムカイアワサン,ムカイアワサン
捏ね返さん	動詞,自立,*,*,五段・サ行,未然特殊,捏ね返す,コネカエサン,コネカエサン
攻あぐまん	動詞,自立,*,*,五段・マ行,未然特殊,攻あぐむ,セメアグマン,セメアグマン
ハサまん	動詞,自立,*,*,五段・マ行,未然特殊,ハサむ,ハサマン,ハサマン
てわたさん	動詞,自立,*,*,五段・サ行,未然特殊,てわたす,テワタサン,テワタサン
取もたん	動詞,自立,*,*,五段・タ行,未然特殊,取もつ,トリモタン,トリモタン
寝過さん	動詞,自立,*,*,五段・サ行,未然特殊,寝過す,ネスゴサン,ネスゴサン
