差し上ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,差し上る,サシノボン,サシノボン
踏ん切ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,踏ん切る,フンギン,フンギン
言い付けん	動詞,自立,*,*,一段撥音便,基本形,言い付ける,イイツケン,イーツケン
ぼん	動詞,自立,*,*,五段・ラ行撥音便,基本形,ぼる,ボン,ボン
蹲ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,蹲る,ウズクマン,ウズクマン
繰下げん	動詞,自立,*,*,一段撥音便,基本形,繰下げる,クリサゲン,クリサゲン
率いん	動詞,自立,*,*,一段撥音便,基本形,率いる,ヒキイン,ヒキイン
労すん	動詞,自立,*,*,サ変・−スル撥音便,基本形,労する,ロウスン,ロースン
持ちかえれん	動詞,自立,*,*,一段撥音便,基本形,持ちかえれる,モチカエレン,モチカエレン
締切ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,締切る,シメキン,シメキン
挙がん	動詞,自立,*,*,五段・ラ行撥音便,基本形,挙がる,アガン,アガン
突っぱん	動詞,自立,*,*,五段・ラ行撥音便,基本形,突っぱる,ツッパン,ツッパン
出歩けん	動詞,自立,*,*,一段撥音便,基本形,出歩ける,デアルケン,デアルケン
せん	動詞,自立,*,*,五段・ラ行撥音便,基本形,せる,セン,セン
躙り寄ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,躙り寄る,ニジリヨン,ニジリヨン
迎えん	動詞,自立,*,*,一段撥音便,基本形,迎える,ムカエン,ムカエン
にげまわん	動詞,自立,*,*,五段・ラ行撥音便,基本形,にげまわる,ニゲマワン,ニゲマワン
押掛けん	動詞,自立,*,*,一段撥音便,基本形,押掛ける,オシカケン,オシカケン
掻き集めん	動詞,自立,*,*,一段撥音便,基本形,掻き集める,カキアツメン,カキアツメン
愁えん	動詞,自立,*,*,一段撥音便,基本形,愁える,ウレエン,ウレエン
はりつめん	動詞,自立,*,*,一段撥音便,基本形,はりつめる,ハリツメン,ハリツメン
追い立てん	動詞,自立,*,*,一段撥音便,基本形,追い立てる,オイタテン,オイタテン
そりかえん	動詞,自立,*,*,五段・ラ行撥音便,基本形,そりかえる,ソリカエン,ソリカエン
演ずん	動詞,自立,*,*,サ変・−ズル撥音便,基本形,演ずる,エンズン,エンズン
取り立てん	動詞,自立,*,*,一段撥音便,基本形,取り立てる,トリタテン,トリタテン
縁どん	動詞,自立,*,*,五段・ラ行撥音便,基本形,縁どる,フチドン,フチドン
侍れん	動詞,自立,*,*,一段撥音便,基本形,侍れる,ハベレン,ハベレン
飛び跳ねん	動詞,自立,*,*,一段撥音便,基本形,飛び跳ねる,トビハネン,トビハネン
ひとかわむけん	動詞,自立,*,*,一段撥音便,基本形,ひとかわむける,ヒトカワムケン,ヒトカワムケン
くりよせん	動詞,自立,*,*,一段撥音便,基本形,くりよせる,クリヨセン,クリヨセン
掛け離れん	動詞,自立,*,*,一段撥音便,基本形,掛け離れる,カケハナレン,カケハナレン
立替えん	動詞,自立,*,*,一段撥音便,基本形,立替える,タテカエン,タテカエン
寝そべん	動詞,自立,*,*,五段・ラ行撥音便,基本形,寝そべる,ネソベン,ネソベン
ひいでん	動詞,自立,*,*,一段撥音便,基本形,ひいでる,ヒイデン,ヒーデン
ほりつけん	動詞,自立,*,*,一段撥音便,基本形,ほりつける,ホリツケン,ホリツケン
もうしかねん	動詞,自立,*,*,一段撥音便,基本形,もうしかねる,モウシカネン,モーシカネン
張詰めん	動詞,自立,*,*,一段撥音便,基本形,張詰める,ハリツメン,ハリツメン
降り懸ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,降り懸る,フリカカン,フリカカン
植わん	動詞,自立,*,*,五段・ラ行撥音便,基本形,植わる,ウワン,ウワン
追いやれん	動詞,自立,*,*,一段撥音便,基本形,追いやれる,オイヤレン,オイヤレン
すり付けん	動詞,自立,*,*,一段撥音便,基本形,すり付ける,スリツケン,スリツケン
乗りつけん	動詞,自立,*,*,一段撥音便,基本形,乗りつける,ノリツケン,ノリツケン
飛あがん	動詞,自立,*,*,五段・ラ行撥音便,基本形,飛あがる,トビアガン,トビアガン
いきおいづけん	動詞,自立,*,*,一段撥音便,基本形,いきおいづける,イキオイヅケン,イキオイズケン
うつむけん	動詞,自立,*,*,一段撥音便,基本形,うつむける,ウツムケン,ウツムケン
取れん	動詞,自立,*,*,一段撥音便,基本形,取れる,トレン,トレン
録れん	動詞,自立,*,*,一段撥音便,基本形,取れる,トレン,トレン
たちあがれん	動詞,自立,*,*,一段撥音便,基本形,たちあがれる,タチアガレン,タチアガレン
跡絶えん	動詞,自立,*,*,一段撥音便,基本形,跡絶える,トダエン,トダエン
裏がえん	動詞,自立,*,*,五段・ラ行撥音便,基本形,裏がえる,ウラガエン,ウラガエン
あてこめん	動詞,自立,*,*,一段撥音便,基本形,あてこめる,アテコメン,アテコメン
せき立てん	動詞,自立,*,*,一段撥音便,基本形,せき立てる,セキタテン,セキタテン
くちん	動詞,自立,*,*,一段撥音便,基本形,くちる,クチン,クチン
きがえん	動詞,自立,*,*,一段撥音便,基本形,きがえる,キガエン,キガエン
じれん	動詞,自立,*,*,一段撥音便,基本形,じれる,ジレン,ジレン
あそびまわれん	動詞,自立,*,*,一段撥音便,基本形,あそびまわれる,アソビマワレン,アソビマワレン
書入れん	動詞,自立,*,*,一段撥音便,基本形,書入れる,カキイレン,カキイレン
あてはまん	動詞,自立,*,*,五段・ラ行撥音便,基本形,あてはまる,アテハマン,アテハマン
ふえん	動詞,自立,*,*,一段撥音便,基本形,ふえる,フエン,フエン
折れ曲がん	動詞,自立,*,*,五段・ラ行撥音便,基本形,折れ曲がる,オレマガン,オレマガン
かきおくん	動詞,自立,*,*,五段・ラ行撥音便,基本形,かきおくる,カキオクン,カキオクン
つきさせん	動詞,自立,*,*,一段撥音便,基本形,つきさせる,ツキサセン,ツキサセン
薫ずん	動詞,自立,*,*,サ変・−ズル撥音便,基本形,薫ずる,クンズン,クンズン
